Date,Price (Open),Price (High),Price (Low),Price (Close),Real Volume,Circulating Marketcap,Realized Marketcap,Adjusted NVT,Average Transaction Fees,Block Size (bytes)
2022-06-04,0.3900330231743598,0.39258962813439213,0.3843154621599993,0.39007811780979806,50200671.97924406,18855405909.48992,,,,
2022-06-03,0.4049921285873682,0.4100665781627052,0.38324245141208674,0.3898939065458895,210391065.2712484,19578575456.28758,57138239514.13019,28.76833826254,0.00029496293661449084,
2022-06-02,0.39862650020529355,0.4066921931468906,0.38996196304070996,0.405044288151122,191079031.43287483,19270841239.230446,57224964330.74282,50.163823434774,0.00043954250455878187,
2022-06-01,0.4213877089487007,0.42644841196445765,0.3885618728046922,0.39774742279260655,482480354.15320814,20371188656.87902,57223131910.10936,36.954213285804,0.0004630264608752848,
2022-05-31,0.4183693679182092,0.4338451649882921,0.40570162453109804,0.42101626643125306,805978381.3826859,20225272690.994915,58028700101.70858,0.495162459188,0.0005573643362235617,
2022-05-30,0.38896057600365164,0.4198385882382704,0.3862666943129864,0.4183397156262288,450382810.0946355,18803560487.38794,57996894562.34918,78.568139760995,0.00038720624179490324,
2022-05-29,0.3861050229779841,0.3903406228373511,0.37911367464498624,0.3888540052707849,112947499.45896405,18665514198.494698,57914523815.33027,134.287749628952,0.0003438807281297489,
2022-05-28,0.3816759086648107,0.38836407638359416,0.37947738446672,0.38602972842582295,123259494.54435846,18451397077.03987,57917659851.77463,95.218288856753,0.001533016360632668,
2022-05-27,0.39161553464365045,0.4026943269130712,0.375905185788789,0.38140954740462796,361413893.16959935,18931909421.595253,57936274243.223854,41.395791685314,0.00040235473871989705,
2022-05-26,0.40559708359603025,0.41044980999344943,0.37473514466984637,0.3915988275608931,355237216.4601176,19607820857.49096,58066122943.76199,54.930738944953,0.0004530341436653055,
2022-05-25,0.4081069835236407,0.412996892833849,0.3941591614930344,0.40557274445800473,275403038.2321012,19729157203.685776,58138549021.01426,80.330449925803,0.0008599122308525127,
2022-05-24,0.4045809990852882,0.413141982466254,0.3902241172099369,0.40811853945841187,222427303.38205817,19558700181.163452,58324855077.11662,63.921835722039,0.0005067301105758494,
2022-05-23,0.42117215626505966,0.42805396158572495,0.3999269586445046,0.40459753814653465,202804245.39605975,20360768171.680477,58355659696.45629,48.764779383038,0.00044211099368597845,
2022-05-22,0.4138873773383812,0.42494545637623093,0.40958626175708396,0.42134101426112935,92016319.96106823,20008599366.830288,58519655162.296745,253.671776956174,0.0015513830612987251,
2022-05-21,0.4097305751603385,0.41759022031220466,0.40266944626673307,0.41412178029216967,74204981.61879028,19807646658.48126,58502337830.81616,183.936220969065,0.0004269113167236095,
2022-05-20,0.41968353063964603,0.44002010418316534,0.40111511747786766,0.4097428583021288,206525946.65621316,20288803392.42666,58510369695.298584,57.4258160666,0.0007125025540900943,
2022-05-19,0.4052931497373008,0.4234370741666987,0.39028894282756144,0.4198701529724415,137447668.14911562,19593127752.201206,58544934904.17302,53.8738599423,0.00042798200098401277,
2022-05-18,0.43721069987315286,0.4419711732515239,0.40329587828605307,0.4047736830541801,208405872.88242492,21136121108.37903,58923038950.81785,60.706009685251,0.00043975999573959523,
2022-05-17,0.4227002222462668,0.43974524492911926,0.4165981064163433,0.4374506792594868,184411744.9434527,20434639620.045666,59089678733.651184,51.943726566418,0.0005460937630120371,
2022-05-16,0.44741055317323314,0.4474233255206375,0.4079070818201672,0.42222708599826947,190310634.45551205,21629213648.65936,59169457150.614655,55.481401004857,0.0004997883045890486,
2022-05-15,0.42571604981443545,0.4492781933684522,0.4144718309000218,0.4475278346200147,109198853.29026303,20580434077.366344,59298405804.50898,133.22025841261,0.0005160934686094417,
2022-05-14,0.42263460576394735,0.44014698883899245,0.39509238229287946,0.42573835693082285,164766172.30708387,20431467515.800705,59243813861.38459,82.970922606843,0.0007367731134463055,
2022-05-13,0.38455545629188453,0.463967253508932,0.38031740550959114,0.42218342941252796,328863577.4678824,18590603339.377083,59251047146.41514,34.676099101051,0.0007352798285723188,
2022-05-12,0.41548623284907804,0.4286608742265227,0.3307594186398726,0.38433121567055756,767136075.6422027,20085893000.583286,59194288769.52242,25.353359368452,0.0007173516590716325,
2022-05-11,0.5128721894676663,0.5237353285341037,0.36403973746042256,0.41508077846543795,996490535.8505236,24793832156.56235,59738767277.39834,7.641443005559,0.0007026739113773629,
2022-05-10,0.4871820766798022,0.5369031308432822,0.47230883462542733,0.5130718363124669,445473237.63861734,23551892434.29629,61811011258.61431,33.619206238786,0.0010152980417506856,
2022-05-09,0.5660444629545718,0.5782910957193528,0.4710931849904831,0.48715442529609354,517691361.2152304,27364344754.61438,62105797110.14413,49.759887327121,0.0007140784328753533,
2022-05-08,0.5806801246998736,0.5830609186339217,0.557157456958118,0.5659988628257271,164353893.59414235,28071878031.452568,62751884206.46845,181.279124363711,0.0007552741740040575,
2022-05-07,0.6019657007934687,0.6048812342672316,0.5693019116255006,0.5803912050171683,124653965.57000925,29100888790.58168,62815770842.43529,196.836509643684,0.0007857783010063495,
2022-05-06,0.5979468285015723,0.6159742911932549,0.5873264347887507,0.6018616985571938,267394163.81123626,28906604040.676716,62887596919.39076,78.144796477413,0.0008456255383212888,
2022-05-05,0.6457067589664321,0.6570774682318891,0.5802604679993912,0.5980690483500469,285398179.61732507,31215467192.301117,62949801380.16745,71.440201750411,0.0007173421273132825,
2022-05-04,0.6044224015543257,0.6498974587529334,0.6038289908710261,0.6457237163490392,252011788.45289078,29109650312.843605,63221989277.54747,91.126295947116,0.0007578437546845919,
2022-05-03,0.6143306676407491,0.6280467700987272,0.5955555078297492,0.6046794689793871,170150778.7058633,29552521041.801197,63054231598.76813,103.471056570046,0.0007596946640333843,
2022-05-02,0.6069203003908066,0.6309825099244802,0.5983619324193383,0.6142147903399452,202023645.2694304,29196043584.925377,63123249273.50895,107.502141422877,0.0007872218693301407,
2022-05-01,0.5844476148399392,0.6124585088469044,0.576374997222269,0.6072339408069412,126982000.47283182,28114989768.813175,63138421311.18335,63.680063608876,0.0006192040260606457,
2022-04-30,0.612227510214813,0.6286211816752774,0.5661208574643457,0.5844901083980635,138111205.77192998,29451348159.902126,63428151708.70522,186.045026806515,0.0010010973680098295,
2022-04-29,0.6445198854416461,0.6452946598876453,0.5991950820930305,0.6115,74684653.22195259,31004780454.02096,63511739738.37391,52.415172001371,0.0011055380385704176,
2022-04-28,0.6521761507655509,0.6566792581873901,0.6333164460614641,0.6449519131669078,174886306.0541192,31373086895.493656,63884976381.53734,91.793001990532,0.0011253356928577337,
2022-04-27,0.64203377208588,0.6628876448343319,0.6363205393251464,0.6522949208592496,257144666.6929485,30885185387.180595,63961842819.595055,70.738529289194,0.0009725493408862287,
2022-04-26,0.6933327902177142,0.7064399292464558,0.6277356307955354,0.64213984562184,342883696.8068807,33352936701.935593,64093164623.47389,83.722974938036,0.0009502966864769805,
2022-04-25,0.6982249213988072,0.6997333772294236,0.647659986922839,0.6931405345031227,253304834.25974742,33588273821.314186,64327000997.78929,98.950607304576,0.0012413362971028055,
2022-04-24,0.7058133094631028,0.7119773237004934,0.6947000099601928,0.6982802353970179,123588765.42068414,33953315011.272476,64369711654.86011,251.770877807775,0.0011391258078436372,
2022-04-23,0.7178662814931227,0.7266350778589057,0.70231572548794,0.7057876996149407,123899968.22167194,34533126061.40501,64420284174.20876,231.468242005224,0.0007444633475645102,
2022-04-22,0.7326197823555511,0.7385413504328444,0.7142301678452405,0.7178814329751836,231812634.50493854,35242846685.23705,64509485259.25544,82.197235404853,0.0009977233116609102,
2022-04-21,0.7517432373736472,0.7684683640332163,0.7185558986168383,0.7327765714254986,230740276.6726848,36162784980.00685,64601879610.063866,121.259251876383,0.0011019599739719378,
2022-04-20,0.7748007795792632,0.7751444334585536,0.7424532072748574,0.7517469717870995,188133976.75696936,37271973462.84874,64742417517.068855,145.001867614558,0.0011723508433673755,
2022-04-19,0.7698019414651279,0.781958465621407,0.7588203758963761,0.7749630450463229,182261147.46509787,37054577849.09898,64774731740.51878,52.895183223409,0.0018018749222194687,
2022-04-18,0.7520092418261267,0.7699688142792416,0.7272821339665246,0.769915148540097,221182165.6529671,36198122521.55825,64749327726.51522,97.10941382583,0.0010440054289860773,
2022-04-17,0.7810523987540732,0.7861402391888167,0.7481707622023812,0.7521369875598889,138568704.8306341,37596120969.47324,64711998148.76777,233.859243206532,0.0009587933628968938,
2022-04-16,0.7859004676994771,0.7998885224693726,0.7662632450911568,0.7810292154587832,151706355.8932543,37829483784.606384,64771059334.31825,46.379978656316,0.0010332370666317986,
2022-04-15,0.7261699277147936,0.7975003312567102,0.7261566783802329,0.785825925245215,335623524.08831656,34954341719.33864,64769680840.87693,88.652365203634,0.0010330517794700873,
2022-04-14,0.7232897561651718,0.7412652864057528,0.709379735714627,0.726207629675806,215460404.6737049,34815704057.94082,64537399363.4621,102.519406558392,0.0009712451209007103,
2022-04-13,0.7152048876744878,0.7251661406277266,0.7018663053658608,0.7232637849849061,303627669.3947039,34426537218.068214,64534409170.63951,104.064322565925,0.0010502963663235813,
2022-04-12,0.6951655208479519,0.7299391084491622,0.6923911968176164,0.7151156050051795,385214059.97941643,33461938094.419266,64523035868.624115,88.109627706724,0.0010869842436235099,
2022-04-11,0.7544639042976076,0.7556701046377421,0.6808494423569771,0.6948726691460401,504835823.32102704,36316278214.26751,64509240663.70519,77.64221667507,0.00083606500092973,
2022-04-10,0.7625371647559838,0.7733276186477708,0.7528766867890745,0.754384443996518,177839713.33669248,36704886299.07124,65086045641.13841,261.964538344888,0.0008296170604828662,
2022-04-09,0.7550961320323019,0.7666157650378819,0.7535256710831402,0.7623700060300398,127659971.86063406,36346710628.829895,65099416515.04416,268.774922098166,0.000951222376533117,
2022-04-08,0.7871292422210598,0.7941284309472535,0.7466238246228175,0.7550323406475885,335505710.41205525,37888631103.82764,65070827782.636856,35.229182600742,0.0010420679327806613,
2022-04-07,0.7594239008472672,0.7909955121443009,0.7522841056282631,0.7872978467215092,314400474.45339066,36555028688.09826,65257188079.65147,132.569922086685,0.001158582691027286,
2022-04-06,0.8164371221533917,0.8185992662639014,0.7559695303606951,0.7595881981788293,532413765.52440405,39299372049.06054,65187093486.90377,88.76541999718,0.001507883483433946,
2022-04-05,0.8263033988663061,0.8363653615514836,0.8148201770085446,0.8165096738433595,285335696.1582119,39774287347.20024,65470800678.615074,141.902251593833,0.0017709798186524052,
2022-04-04,0.843218262092587,0.8434072942715248,0.8047584936858719,0.8262868874460845,365795042.9125809,40588487834.96751,65519233221.300064,44.483064669752,0.0011539882061412574,
2022-04-03,0.8225429570349514,0.8521131661228355,0.8146518242503339,0.8431551249691173,226604908.97116747,39593277691.23375,65558949484.49892,348.471160746083,0.0013062521853800437,
2022-04-02,0.8277669598268155,0.8500019078411492,0.8189839653618467,0.8245776098648447,283892266.3128276,39844736160.88456,65506313948.34464,218.331539147873,0.001554631414378231,
2022-04-01,0.8217023674793611,0.8343316753281773,0.8209745560641093,0.8279022692080649,133681606.99880563,39541640052.07656,65482038568.15133,42.813670779508,0.0018278573878036614,
2022-03-31,0.8613280388182141,0.8737623158717688,0.7802088993319385,0.8129615321203251,415568268.2620807,41448491115.082855,65350640235.540375,84.608077168545,0.001626768628033774,
2022-03-30,0.8577847053532834,0.8718542128435995,0.8460786944757078,0.861454061902868,337922525.8674843,41277980207.48433,65554895903.09074,142.79651266229,0.0018706077813914596,
2022-03-29,0.8640717901814584,0.8858460229554467,0.8408482484327544,0.8579532557641651,457334015.9844748,41580524845.41104,65401730996.56945,133.406273185615,0.0019808481844288185,
2022-03-28,0.8579752060942434,0.9218298372260507,0.8534081286376217,0.8642623627632695,771332052.4978669,41287147409.6573,65444928975.773094,122.542547217166,0.0024345507777808906,
2022-03-27,0.8330288262514722,0.858340825460523,0.8280098158438755,0.8581343864142109,298674806.2987419,40086687472.598625,65235394275.86652,318.028267494875,0.0014521928317577622,
2022-03-26,0.8243239900881713,0.835293462161985,0.821002944417819,0.8331137606570428,177136822.30697805,39667796750.23474,65154917419.8234,395.45210377875,0.001397148211451881,
2022-03-25,0.8432388749665876,0.8460227880228759,0.8190827735355172,0.8243121465983585,385784465.1252578,40578011444.86088,65124340869.49098,121.257282812162,0.001725528521931535,
2022-03-24,0.8378383043332946,0.8502468593579617,0.8276463825724987,0.843262156968829,451044543.62627435,40318127296.40387,65167565658.70973,98.701047513839,0.0025239027059704225,
2022-03-23,0.8367419767985785,0.8462189550712765,0.8171418194077043,0.8378318563773456,395242438.7102834,40265370251.42917,65115321484.991425,103.499521140207,0.0017686329091895102,
2022-03-22,0.8374482291392472,0.8652727321856265,0.8278859495796823,0.8369258351177838,504970843.1569057,40299356250.43064,65151938939.934135,86.676763525575,0.002031311928850465,
2022-03-21,0.8059737310517657,0.8549503847464651,0.7880668840003846,0.8376430244441594,519804418.34024537,38784752759.61591,64985193199.880035,99.101617561779,0.0016042642755276651,
2022-03-20,0.8197285916845921,0.8223833327160164,0.7954241953393645,0.8059024527983847,272213290.44287276,39446658785.003334,64816458221.20578,237.772358438499,0.0018462083520131244,
2022-03-19,0.7968755963363727,0.8271035697130292,0.7920144847221534,0.8198591193507375,352626744.6832382,38346935878.10327,64626700617.43302,201.782550426961,0.0023701563558958566,
2022-03-18,0.7941604081594477,0.8010754329917199,0.7765069684649175,0.796795477756682,366783283.24756783,38216276654.25928,64563169635.81881,96.113303360802,0.00216999865097773,
2022-03-17,0.7922480646718499,0.8021579756881957,0.783361856937332,0.7939384156468665,360259659.26338136,38064435038.58523,64540051333.09652,122.067993411114,0.0018903316125147718,
2022-03-16,0.7662725921048396,0.7946214709027182,0.7576234251867782,0.792346369090932,498176959.4325389,36816414712.35943,64393583074.11946,31.291461872463,0.0020154470488768345,
2022-03-15,0.7747141796474831,0.7768498830687354,0.7415122957680057,0.7660863465387779,346364623.6158864,37222000128.04937,64294742136.76635,84.221864152759,0.0016434210838573587,
2022-03-14,0.7603134648545332,0.7779657458199881,0.745217531704871,0.7748645398370932,437178440.08048207,36530101848.72384,64322010430.16864,93.720507949912,0.0014194903452581895,
2022-03-13,0.7855891712999157,0.8053654818034832,0.7512950746997955,0.7603724002187057,427169659.1561432,37744501137.21326,64246335778.69568,241.929887492643,0.0017680391928878985,
2022-03-12,0.8027935331436815,0.8490418204327596,0.7785021387327,0.7857719487312002,834722784.9632854,38571103741.857796,64354691240.50709,138.19344282832,0.0018835894948926208,
2022-03-11,0.7364530084483062,0.8144892957877093,0.7253152199234761,0.8028631465040756,787158950.7896725,35308702581.93405,64310292200.31022,81.58036625242,0.0015833238290876423,
2022-03-10,0.7662965758449326,0.779297249203222,0.7219649636722144,0.7364033803244886,521422850.4710054,36739530663.43187,64111138068.37077,71.48156323079,0.0015381663587765632,
2022-03-09,0.7208251465891284,0.7752370052355149,0.7200888708094079,0.765952489918876,488649360.89783496,34559436138.52594,64205978414.75506,116.096354531961,0.0018649683378543834,
2022-03-08,0.7199010729039597,0.7312455772026516,0.7135671818156257,0.7209958089442093,383952630.55605525,34515132099.382744,64049811175.12748,91.391039688881,0.0016186154927954062,
2022-03-07,0.725172582614401,0.7545414574168102,0.7035754861474522,0.7199539716601615,616763895.0582757,34771504037.34744,64108437183.649185,110.440768171834,0.0015188168670613464,
2022-03-06,0.7539652276366797,0.7590057447642201,0.7214075216520041,0.7250161869931769,356313373.2340532,36152090668.227325,64166467326.76105,246.575831747092,0.003231663398996872,
2022-03-05,0.7128557922279622,0.7694471617546897,0.705190980135106,0.7541764762391486,425299377.6009273,34180922792.390278,64255072549.647385,196.477952017661,0.0015881400167564728,
2022-03-04,0.7516195970863858,0.7539048078289878,0.694629154339147,0.7128282190095465,497569122.55934536,36039619369.5254,64173678343.70266,92.463553385375,0.0012233478839850738,
2022-03-03,0.7692298275001681,0.7898688715423248,0.7340809316506133,0.7516832912611862,448240912.3257793,36884017258.54081,64380789050.00748,101.975939029017,0.0013737287612084605,
2022-03-02,0.784391601399938,0.7850546636509211,0.756591970188573,0.769137840866926,485350455.77577215,37611013417.81167,64422340041.755066,86.746190828111,0.001669498429000235,
2022-03-01,0.7813839328803931,0.8043948972580915,0.7576164908076826,0.7842718365667757,567264864.9135125,37466797874.398094,64483307119.843124,47.061448282222,0.0011283317602954262,
2022-02-28,0.7217095277811072,0.7939544339703617,0.7079287561021309,0.7814105352177504,584673149.8625311,34605453047.54953,64012686339.11432,78.765169574627,0.0016024855587778053,
2022-02-27,0.7511452550353204,0.7679830415378236,0.703782415078162,0.7217510501467511,533043998.6039276,36016875009.16329,63763549039.927086,166.680184226898,0.0009879986987307114,
2022-02-26,0.7703171511544443,0.7958134117174596,0.7407663355402329,0.7511365914365513,646643747.4080654,36936153646.1277,63869706198.1945,122.104342168616,0.0010347246052781912,
2022-02-25,0.6967757046529277,0.7810957257671868,0.683033995815688,0.7702628329583576,643398567.2981309,33409894152.531284,64121751350.45893,108.444757330366,0.0010294375140419236,
2022-02-24,0.6970036871975865,0.722501415142577,0.6219215620618213,0.6966843010246484,1065951464.6162324,33420825751.659687,63800322158.958115,51.195968414628,0.0011899886117422713,
