"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2022-06-04","0.3900330231743598","0.39258962813439213","0.3843154621599993","0.3904747143847157","46355771.58523068","18855405909.48992"
"2022-06-03","0.4049921285873682","0.4100665781627052","0.38324245141208674","0.3898939065458895","210391065.2712484","19578575456.28758"
"2022-06-02","0.39862650020529355","0.4066921931468906","0.38996196304070996","0.405044288151122","191079031.43287483","19270841239.230446"
"2022-06-01","0.4213877089487007","0.42644841196445765","0.3885618728046922","0.39774742279260655","482480354.15320814","20371188656.87902"
"2022-05-31","0.4183693679182092","0.4338451649882921","0.40570162453109804","0.42101626643125306","805978381.3826859","20225272690.994915"
"2022-05-30","0.38896057600365164","0.4198385882382704","0.3862666943129864","0.4183397156262288","450382810.0946355","18803560487.38794"
"2022-05-29","0.3861050229779841","0.3903406228373511","0.37911367464498624","0.3888540052707849","112947499.45896405","18665514198.494698"
"2022-05-28","0.3816759086648107","0.38836407638359416","0.37947738446672","0.38602972842582295","123259494.54435846","18451397077.03987"
"2022-05-27","0.39161553464365045","0.4026943269130712","0.375905185788789","0.38140954740462796","361413893.16959935","18931909421.595253"
"2022-05-26","0.40559708359603025","0.41044980999344943","0.37473514466984637","0.3915988275608931","355237216.4601176","19607820857.49096"
"2022-05-25","0.4081069835236407","0.412996892833849","0.3941591614930344","0.40557274445800473","275403038.2321012","19729157203.685776"
"2022-05-24","0.4045809990852882","0.413141982466254","0.3902241172099369","0.40811853945841187","222427303.38205817","19558700181.163452"
"2022-05-23","0.42117215626505966","0.42805396158572495","0.3999269586445046","0.40459753814653465","202804245.39605975","20360768171.680477"
"2022-05-22","0.4138873773383812","0.42494545637623093","0.40958626175708396","0.42134101426112935","92016319.96106823","20008599366.830288"
"2022-05-21","0.4097305751603385","0.41759022031220466","0.40266944626673307","0.41412178029216967","74204981.61879028","19807646658.48126"
"2022-05-20","0.41968353063964603","0.44002010418316534","0.40111511747786766","0.4097428583021288","206525946.65621316","20288803392.42666"
"2022-05-19","0.4052931497373008","0.4234370741666987","0.39028894282756144","0.4198701529724415","137447668.14911562","19593127752.201206"
