Timestamp,market-cap
2021-12-13 04:29:37,926137711337.5
2021-12-13 08:05:58,926662966612.5
2021-12-13 12:28:58,919155797137.5
2021-12-13 15:46:14,919161268350
2021-12-13 18:32:11,919166739562.5
2021-12-13 21:42:02,919172210775
2021-12-14 00:40:06,919177681987.5
2021-12-14 03:27:31,919183153200
2021-12-14 05:45:42,919188624412.5
2021-12-14 08:48:38,919194095625
2021-12-14 12:27:54,883743484353.8749
2021-12-14 15:05:37,883748744526.4999
2021-12-14 16:59:53,883754004699.1249
2021-12-14 20:30:57,883759264871.7499
2021-12-15 00:42:20,914681197438.125
2021-12-15 04:17:03,914686641627
2021-12-15 06:53:51,914692085815.875
2021-12-15 10:01:39,914697530004.75
2021-12-15 12:53:04,914702974193.625
2021-12-15 15:36:36,914708418382.5
2021-12-15 17:59:28,914713862571.375
2021-12-15 21:17:59,914719306760.25
2021-12-16 00:28:43,924022120727.7501
2021-12-16 03:09:13,924027620252.0001
2021-12-16 06:54:28,924033119776.2501
2021-12-16 10:44:04,924038619300.5001
2021-12-16 14:14:01,924044118824.7501
2021-12-16 17:57:35,924049618349.0001
2021-12-16 23:04:46,900875038274.75
2021-12-17 01:18:45,900880399842.5
2021-12-17 04:27:17,900885761410.25
2021-12-17 07:11:34,900891122978
2021-12-17 10:33:24,900896484545.75
2021-12-17 12:58:47,900901846113.5
2021-12-17 15:25:15,900907207681.25
2021-12-17 18:37:10,900912569249
2021-12-17 22:11:24,900917930816.75
2021-12-18 02:17:44,872853644000.25
2021-12-18 05:32:10,872858838520.125
2021-12-18 08:00:36,872864033040
2021-12-18 11:23:18,872869227559.875
2021-12-18 15:31:46,872874422079.75
2021-12-18 18:17:31,872879616599.625
2021-12-18 21:14:35,872884811119.5
2021-12-19 00:20:02,885937178494.375
2021-12-19 03:13:07,885942450657.25
2021-12-19 05:45:06,885947722820.125
2021-12-19 08:20:45,885952994983
2021-12-19 11:41:53,885958267145.875
2021-12-19 14:16:04,885963539308.75
2021-12-19 17:27:24,885968811471.625
2021-12-19 21:20:45,885974376532.4375
2021-12-20 01:09:30,882682724000
2021-12-20 03:36:04,882687976544
2021-12-20 06:28:46,882693229088
2021-12-20 08:54:19,882698481632
2021-12-20 11:38:57,882703734176
2021-12-20 15:45:12,882708986720
2021-12-20 18:03:49,882714239264
2021-12-20 20:24:15,882719491808
2021-12-21 00:10:19,886900215890.4375
2021-12-21 02:56:46,886905493280.0625
2021-12-21 04:32:42,886910770669.6875
2021-12-21 07:14:37,886916048059.3125
2021-12-21 11:51:21,886921325448.9375
2021-12-21 14:44:27,886926602838.5625
2021-12-21 16:54:59,886931880228.1875
